"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000148834",3.7906601410756,6.36387284884367,53.1288175035104,1.7894078169887e-19,2.24384776332041e-15,"ENSG00000148834","GSTO1"
"ENSG00000170542",5.16895260214728,7.26820676543903,52.9879283036519,1.86893866676696e-19,2.24384776332041e-15,"ENSG00000170542","SERPINB9"
"ENSG00000143878",3.81594590893425,5.35418394052789,49.3399783854525,5.69142577373956e-19,3.62471444000842e-15,"ENSG00000143878","RHOB"
"ENSG00000104332",-5.73319266206074,7.60208249870318,-49.165550063706,6.0381716475236e-19,3.62471444000842e-15,"ENSG00000104332","SFRP1"
"ENSG00000158828",2.94625451809893,6.15332314311551,48.1476033308369,8.34046357113455e-19,4.00542422540165e-15,"ENSG00000158828","PINK1"
"ENSG00000095739",4.98021117709854,5.5663062176942,45.6628123369075,1.91172720959461e-18,7.65073229279762e-15,"ENSG00000095739","BAMBI"
"ENSG00000075673",6.58922894176032,3.97054992539329,42.5716337624973,5.74739517337654e-18,1.97152075575882e-14,"ENSG00000075673","ATP12A"
"ENSG00000125968",3.79273700268812,6.73904008798195,40.3665376604784,1.3065371304709e-17,3.92157119710839e-14,"ENSG00000125968","ID1"
"ENSG00000115738",5.18866801261627,5.07751609853854,36.015925660091,7.72815410296088e-17,1.91343384064722e-13,"ENSG00000115738","ID2"
"ENSG00000113196",13.254151385964,-1.92444409033663,36.1499831806535,7.96865667435957e-17,1.91343384064722e-13,"ENSG00000113196","HAND1"
"ENSG00000115414",5.66545069248505,8.1374011346675,34.7938889606539,1.32368506075221e-16,2.88948415261656e-13,"ENSG00000115414","FN1"
"ENSG00000181449",-4.55457814599455,6.71431390654648,-33.2406758556012,2.68233569814555e-16,4.74027123981917e-13,"ENSG00000181449","SOX2"
"ENSG00000152284",-2.6249830217086,7.27021859625109,-33.1940688543369,2.73879136533915e-16,4.74027123981917e-13,"ENSG00000152284","TCF7L1"
"ENSG00000011347",3.03967237526848,6.02689159098976,33.174692060612,2.76377633506032e-16,4.74027123981917e-13,"ENSG00000011347","SYT7"
"ENSG00000137834",5.08051734137087,4.29697576876916,32.449546155455,3.90184459933048e-16,6.24607283460822e-13,"ENSG00000137834","SMAD6"
