"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000143878",3.9410633290847,5.35418394052789,50.0117852758237,4.60711134541539e-19,1.10625957626114e-14,"ENSG00000143878","RHOB"
"ENSG00000075673",5.58520295394431,3.97054992539329,46.5763549235622,1.40546296024649e-18,1.68739883007193e-14,"ENSG00000075673","ATP12A"
"ENSG00000181449",-5.44287191344451,6.71431390654648,-42.2617124113407,6.40683449902566e-18,4.53516602598908e-14,"ENSG00000181449","SOX2"
"ENSG00000095739",3.54299060568242,5.5663062176942,41.8097502866865,7.55483262700163e-18,4.53516602598908e-14,"ENSG00000095739","BAMBI"
"ENSG00000148834",2.61378051608328,6.36387284884367,39.7755509154429,1.64379990465991e-17,6.95677821443819e-14,"ENSG00000148834","GSTO1"
"ENSG00000103257",2.95418828396206,9.11068859449758,39.6331085245717,1.73832539091409e-17,6.95677821443819e-14,"ENSG00000103257","SLC7A5"
"ENSG00000104332",-4.78528260757417,7.60208249870318,-38.6651249330567,2.55844105906813e-17,8.77618381576343e-14,"ENSG00000104332","SFRP1"
"ENSG00000116729",3.67007399170521,4.08063242517952,33.544996056321,2.32669466706393e-16,6.98357404319239e-13,"ENSG00000116729","WLS"
"ENSG00000147596",-3.53635218353919,5.03619099600213,-31.0751818786074,7.61673284988218e-16,1.99303517975019e-12,"ENSG00000147596","PRDM14"
"ENSG00000189120",4.9676403855854,3.03506322657897,30.9065033450587,8.30016316737544e-16,1.99303517975019e-12,"ENSG00000189120","SP6"
"ENSG00000008311",-2.58433027947692,8.32739637559914,-30.4174841908923,1.06066895703234e-15,2.31534390875095e-12,"ENSG00000008311","AASS"
"ENSG00000170561",-2.89219788603754,3.58735036264925,-28.880924720017,2.36467743707734e-15,4.73171955159177e-12,"ENSG00000170561","IRX2"
"ENSG00000137834",3.19088495994553,4.29697576876916,28.6465636071168,2.68199512432114e-15,4.78003451479368e-12,"ENSG00000137834","SMAD6"
"ENSG00000134873",3.84066921157824,5.73731202772193,28.448510320317,2.98600326180369e-15,4.78003451479368e-12,"ENSG00000134873","CLDN10"
"ENSG00000059804",2.08873820697745,9.64851065532478,28.4480324824101,2.98602855746732e-15,4.78003451479368e-12,"ENSG00000059804","SLC2A3"
"ENSG00000113196",6.08363157262503,-1.92444409033663,28.1359747634794,3.56108148981683e-15,5.34429304584261e-12,"ENSG00000113196","HAND1"
