"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000170542",4.48114553138349,7.26820676543903,53.9469997228374,1.40968162185855e-19,2.21555183561529e-15,"ENSG00000170542","SERPINB9"
"ENSG00000158828",3.17742541828291,6.15332314311551,52.5409496393542,2.12928013873862e-19,2.21555183561529e-15,"ENSG00000158828","PINK1"
"ENSG00000143878",4.00568221781077,5.35418394052789,51.6680460015835,2.7680557666358e-19,2.21555183561529e-15,"ENSG00000143878","RHOB"
"ENSG00000148834",3.22878306402127,6.36387284884367,49.4778072856978,5.44758840649313e-19,3.05945459237633e-15,"ENSG00000148834","GSTO1"
"ENSG00000104332",-5.71069203640969,7.60208249870318,-48.9969635853448,6.37067839491989e-19,3.05945459237633e-15,"ENSG00000104332","SFRP1"
"ENSG00000095739",4.95322519687945,5.5663062176942,47.1533692960157,1.15743444980409e-18,4.63205266811597e-15,"ENSG00000095739","BAMBI"
"ENSG00000075673",6.21517658655566,3.97054992539329,45.662288877777,1.92069413086948e-18,6.588529638634e-15,"ENSG00000075673","ATP12A"
"ENSG00000125968",4.61436660583286,6.73904008798195,43.9776382139238,3.4362779369311e-18,1.03139882276987e-14,"ENSG00000125968","ID1"
"ENSG00000115738",5.17964116247219,5.07751609853854,37.3104199919294,4.46170984339049e-17,1.19038418621658e-13,"ENSG00000115738","ID2"
"ENSG00000113196",13.3676138216187,-1.92444409033663,36.4916191925195,6.89601299042502e-17,1.65587063926086e-13,"ENSG00000113196","HAND1"
"ENSG00000115414",5.54114657968929,8.1374011346675,35.8893148575444,8.17214408745788e-17,1.78390476207308e-13,"ENSG00000115414","FN1"
"ENSG00000137834",4.82911524434068,4.29697576876916,33.7426170322922,2.12659818939416e-16,4.25532297697771e-13,"ENSG00000137834","SMAD6"
"ENSG00000229544",3.55900537771749,5.30432002197666,32.6350667003335,3.56493580962264e-16,6.27001495052777e-13,"ENSG00000229544","NKX1-2"
"ENSG00000116729",6.6055587389713,4.08063242517952,32.6000805072178,3.65568088070085e-16,6.27001495052777e-13,"ENSG00000116729","WLS"
"ENSG00000181449",-4.46174081391329,6.71431390654648,-32.3899145500111,4.01001382673045e-16,6.41923013383011e-13,"ENSG00000181449","SOX2"
"ENSG00000170113",3.97619417390468,5.53499203449261,32.1990661136507,4.39271937034284e-16,6.59237359504202e-13,"ENSG00000170113","NIPA1"
"ENSG00000152284",-2.54445624434534,7.27021859625109,-31.6171584804345,5.82603422594306e-16,8.22910199019674e-13,"ENSG00000152284","TCF7L1"
"ENSG00000011347",2.76905773088524,6.02689159098976,31.2641796919994,6.93309799611891e-16,9.24875272682263e-13,"ENSG00000011347","SYT7"
"ENSG00000189120",5.94329556665639,3.03506322657897,30.1740136801925,1.2072656223341e-15,1.52572958544665e-12,"ENSG00000189120","SP6"
"ENSG00000134873",4.09072559439297,5.73731202772193,29.9472976614758,1.3504133054217e-15,1.62130621448929e-12,"ENSG00000134873","CLDN10"
"ENSG00000133636",5.34456597375689,5.73465375795832,29.6799157944686,1.5550400217087e-15,1.77807719053663e-12,"ENSG00000133636","NTS"
"ENSG00000164292",4.79130111349331,5.36554287940384,28.5480078453926,2.83244863029283e-15,3.09148893229962e-12,"ENSG00000164292","RHOBTB3"
"ENSG00000103257",2.11606346356113,9.11068859449758,28.0563600146135,3.69881442123957e-15,3.86156225577411e-12,"ENSG00000103257","SLC7A5"
"ENSG00000170961",3.62353949657802,3.86808408754191,27.8359966479151,4.17815347460501e-15,4.18024255134231e-12,"ENSG00000170961","HAS2"
"ENSG00000172201",6.10214524243535,3.86262571477962,27.7223189748158,4.47618527906028e-15,4.29928643683182e-12,"ENSG00000172201","ID4"
"ENSG00000121900",4.99598705841366,3.57702993320059,27.5428389198823,4.92791899882843e-15,4.55112273076416e-12,"ENSG00000121900","TMEM54"
"ENSG00000008311",-2.42862848780768,8.32739637559914,-27.3473765874193,5.49001212205012e-15,4.86131820379717e-12,"ENSG00000008311","AASS"
