"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000170542",-4.67820213022627,7.26820676543903,-46.2121064394536,1.58512402491903e-18,3.80619980863556e-14,"ENSG00000170542","SERPINB9"
"ENSG00000170561",-4.42401803555058,3.58735036264925,-34.5379140311672,1.48004136824139e-16,1.77693766671061e-12,"ENSG00000170561","IRX2"
"ENSG00000189184",-2.70380997732826,5.69569661875978,-21.2045102235305,2.71369478609751e-13,1.70318135957116e-09,"ENSG00000189184","PCDH18"
"ENSG00000139318",4.56664379176212,6.07923653916113,21.1440653020202,2.83721699078988e-13,1.70318135957116e-09,"ENSG00000139318","DUSP6"
"ENSG00000134917",2.54220345921374,3.32312733380826,19.5805091111702,9.1000261613241e-13,4.37019656371429e-09,"ENSG00000134917","ADAMTS8"
"ENSG00000133636",-4.73907631833131,5.73465375795832,-18.8649727041745,1.60006952341703e-12,6.40347823271494e-09,"ENSG00000133636","NTS"
"ENSG00000256223",4.59597905477189,4.142862402643,18.6449125872852,1.90955032354683e-12,6.55030319557235e-09,"ENSG00000256223","ZNF10"
"ENSG00000125968",-2.29476569490753,6.73904008798195,-17.3880805863748,5.44863032911854e-12,1.57018618065065e-08,"ENSG00000125968","ID1"
"ENSG00000115738",-3.12076359172223,5.07751609853854,-17.298936496862,5.8852555496651e-12,1.57018618065065e-08,"ENSG00000115738","ID2"
"ENSG00000068078",-3.73162832188004,5.13678435390731,-16.8565112144937,8.6748950823699e-12,1.90210975157884e-08,"ENSG00000068078","FGFR3"
"ENSG00000092758",-2.21784533104078,6.67135290028023,-16.8512269283508,8.7136462049672e-12,1.90210975157884e-08,"ENSG00000092758","COL9A3"
"ENSG00000185668",3.03791842662716,4.40168910104605,16.6477664615645,1.04478598202632e-11,2.09061675003467e-08,"ENSG00000185668","POU3F1"
"ENSG00000120738",-3.53867216853275,1.83963529606524,-16.3837932931295,1.32627407058244e-11,2.38321469714235e-08,"ENSG00000120738","EGR1"
"ENSG00000134363",-3.33924094553703,3.8516493798121,-16.3325986788337,1.38951381642483e-11,2.38321469714235e-08,"ENSG00000134363","FST"
"ENSG00000113196",-7.17051981333894,-1.92444409033663,-16.1728549759831,1.63177863561313e-11,2.4933168039893e-08,"ENSG00000113196","HAND1"
"ENSG00000243709",3.19133409898151,4.47514889332347,16.13775289221,1.66138051240333e-11,2.4933168039893e-08,"ENSG00000243709","LEFTY1"
"ENSG00000154096",1.93258514791166,8.25816837192222,16.0703724152945,1.76800638312494e-11,2.49725701597624e-08,"ENSG00000154096","THY1"
"ENSG00000116774",-1.8729536037885,6.25822156910634,-15.9955390997837,1.89509019907032e-11,2.52805032555981e-08,"ENSG00000116774","OLFML3"
"ENSG00000143768",2.45833368900955,4.27128140315931,15.5698596988348,2.8283788909724e-11,3.57447547000153e-08,"ENSG00000143768","LEFTY2"
"ENSG00000248329",-3.21359973663922,4.21701852051627,-14.8743312088911,5.55867863234635e-11,6.36790485183678e-08,"ENSG00000248329","APELA"
"ENSG00000172201",-3.83624757665905,3.86262571477962,-14.872695172489,5.56913217926755e-11,6.36790485183678e-08,"ENSG00000172201","ID4"
"ENSG00000143248",-2.77809275384731,4.17656720824828,-14.8166826591916,5.88582911892793e-11,6.42411494562261e-08,"ENSG00000143248","RGS5"
"ENSG00000100604",2.97086900541902,4.95710711642212,14.5992101073198,7.31727038420469e-11,7.6392302811097e-08,"ENSG00000100604","CHGA"
"ENSG00000115414",-3.0781063365774,8.1374011346675,-14.3710388252419,9.22291302842928e-11,9.22752448494349e-08,"ENSG00000115414","FN1"
"ENSG00000170373",-4.80675075139214,1.89152632457644,-14.259888744483,1.0353584234703e-10,9.65952826323179e-08,"ENSG00000170373","CST1"
"ENSG00000187678",2.26301409070721,7.22929349401626,14.2482864801831,1.04592593221734e-10,9.65952826323179e-08,"ENSG00000187678","SPRY4"
"ENSG00000132297",-1.59778240738308,9.04119632331224,-13.9149856718037,1.47897845505438e-10,1.3153048393617e-07,"ENSG00000132297","HHLA1"
"ENSG00000108950",-6.29249125119444,2.40180531822656,-13.7905152775378,1.70067176426179e-10,1.45844751440907e-07,"ENSG00000108950","FAM20A"
"ENSG00000143858",2.5599336550428,4.10610109138593,13.6013808385125,2.06246473559451e-10,1.70772080107226e-07,"ENSG00000143858","SYT2"
"ENSG00000136504",1.6588985678458,7.63649143442968,13.5061538862485,2.28455834678638e-10,1.79389946065107e-07,"ENSG00000136504","KAT7"
"ENSG00000180694",-2.06603029856588,4.7031367632032,-13.4934853296222,2.31596215559649e-10,1.79389946065107e-07,"ENSG00000180694","TMEM64"
"ENSG00000125148",2.5472426922202,4.09491049382803,13.1971730934968,3.19726866800948e-10,2.39915047675762e-07,"ENSG00000125148","MT2A"
"ENSG00000283809",-2.59537882011932,4.67043237168963,-13.0447301503458,3.78326897573172e-10,2.71751236626954e-07,"ENSG00000283809",NA
"ENSG00000125378",-3.87398275982757,3.10961498643065,-13.0298065543713,3.84788524292705e-10,2.71751236626954e-07,"ENSG00000125378","BMP4"
"ENSG00000163666",2.79681787697586,1.67351717447382,12.6029049066919,6.2204857741613e-10,4.2676086974046e-07,"ENSG00000163666","HESX1"
"ENSG00000100473",-2.15799037862761,4.58855250997512,-12.2116927366143,9.78025907585107e-10,6.45049796447835e-07,"ENSG00000100473","COCH"
"ENSG00000164651",-2.70341235681622,3.14559411711907,-12.197920860235,9.93954792127682e-10,6.45049796447835e-07,"ENSG00000164651","SP8"
"ENSG00000175832",1.8195382370091,7.08448761584733,12.0827941991631,1.13825522842768e-09,7.1925748802646e-07,"ENSG00000175832","ETV4"
"ENSG00000104067",-7.57914019584918,2.43810155230287,-12.073300250642,1.17510030279566e-09,7.23500217198191e-07,"ENSG00000104067","TJP1"
"ENSG00000168421",4.74472261192032,1.5380999061073,12.010549471844,1.24227853467846e-09,7.45739804367481e-07,"ENSG00000168421","RHOH"
"ENSG00000148680",-2.1060767302279,5.22723562374725,-11.6896272380383,1.82312930861852e-09,1.06773124289141e-06,"ENSG00000148680","HTR7"
"ENSG00000116729",-3.52346713236725,4.08063242517952,-11.3893195394046,2.6359126277217e-09,1.50698890516318e-06,"ENSG00000116729","WLS"
"ENSG00000124762",-2.94232664497961,3.5239925657497,-11.2233333132713,3.24166732215572e-09,1.81020734278147e-06,"ENSG00000124762","CDKN1A"
"ENSG00000142698",1.95822416362977,3.85766428518536,11.2007330506538,3.33487014745205e-09,1.8199295904686e-06,"ENSG00000142698","C1orf94"
"ENSG00000162433",2.09181000021379,7.2742201117073,11.0750929445445,3.90790255809326e-09,2.08525680499856e-06,"ENSG00000162433","AK4"
"ENSG00000078018",3.24637980590045,2.56145413670802,10.8749204220853,5.04634548210174e-09,2.58285372086156e-06,"ENSG00000078018","MAP2"
"ENSG00000267909",2.20197263138426,3.58865442994871,10.8734350521795,5.05556075630907e-09,2.58285372086156e-06,"ENSG00000267909","CCDC177"
"ENSG00000164120",-5.77342100085377,2.97375183624101,-10.7131216716164,6.26084302885905e-09,3.13198672518674e-06,"ENSG00000164120","HPGD"
"ENSG00000205358",3.1126422219375,2.2984689072815,10.6532118413161,6.72630045737104e-09,3.28155259341576e-06,"ENSG00000205358","MT1H"
"ENSG00000113361",-3.61463230749807,1.95393984746701,-10.6413032578299,6.83315132728586e-09,3.28155259341576e-06,"ENSG00000113361","CDH6"
"ENSG00000100292",2.06434299858435,3.49368298141321,10.5782771836717,7.4197780155188e-09,3.42923117200472e-06,"ENSG00000100292","HMOX1"
"ENSG00000106038",-7.25516871810407,-1.30784380933083,-10.5919320532057,7.42628772881248e-09,3.42923117200472e-06,"ENSG00000106038","EVX1"
"ENSG00000183908",3.46785866095395,1.74218216963398,10.5598530405977,7.60299587150117e-09,3.43544599634626e-06,"ENSG00000183908","LRRC55"
"ENSG00000157554",3.7390870250276,1.24986858787958,10.5477982454301,7.72589054650582e-09,3.43544599634626e-06,"ENSG00000157554","ERG"
"ENSG00000115339",-2.62143872890114,3.67748954482502,-10.5288805216493,7.91824109761107e-09,3.45696009519704e-06,"ENSG00000115339","GALNT3"
"ENSG00000103044",1.85643271256812,5.8111990566345,10.1893057183673,1.2459791713952e-08,5.34258068991813e-06,"ENSG00000103044","HAS3"
"ENSG00000178947",-1.90988737132624,3.46935579765391,-10.1605893061429,1.29535054479606e-08,5.36862825514089e-06,"ENSG00000178947","SMIM10L2A"
"ENSG00000125798",6.35861907422906,-1.35148257326917,10.1678340699132,1.29677010993741e-08,5.36862825514089e-06,"ENSG00000125798","FOXA2"
"ENSG00000126010",-2.05542233030033,3.04423617348143,-10.1157361418739,1.37663653447028e-08,5.60267736706785e-06,"ENSG00000126010","GRPR"
"ENSG00000177108",1.87871546427719,4.65491982797657,9.93348788322103,1.7665617926926e-08,7.06978029435579e-06,"ENSG00000177108","ZDHHC22"
"ENSG00000066735",1.3849391905287,6.50962169688698,9.90959244985325,1.82574142925688e-08,7.18683659005183e-06,"ENSG00000066735","KIF26A"
"ENSG00000135426",-2.52382041835773,1.66005827289822,-9.89609372886716,1.86010151772102e-08,7.20399316830923e-06,"ENSG00000135426","TESPA1"
