"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000256223",4.2590023069658,4.142862402643,19.010984376015,1.42308367852771e-12,3.41710852888074e-08,"ENSG00000256223","ZNF10"
"ENSG00000104067",-7.70827381269548,2.43810155230287,-12.3209799264405,8.79829273031263e-10,1.05632302520133e-05,"ENSG00000104067","TJP1"
"ENSG00000114019",-1.85540843480079,6.19770042640576,-9.0514719233962,6.20682492438757e-08,0.000496794266947981,"ENSG00000114019","AMOTL2"
"ENSG00000143248",-1.945122233818,4.17656720824828,-7.58030167913976,6.17160552049388e-07,0.00344961284324048,"ENSG00000143248","RGS5"
"ENSG00000118523",-1.75901564634595,5.23379774602151,-7.48884365530546,7.18310187248142e-07,0.00344961284324048,"ENSG00000118523","CCN2"
"ENSG00000118194",-2.88691463547024,1.20172769609939,-7.25280725010453,1.06821957062789e-06,0.00427501472165284,"ENSG00000118194","TNNT2"
"ENSG00000170561",-1.77526925495193,3.58735036264925,-7.06960125929233,1.4609035957346e-06,0.00501131673439702,"ENSG00000170561","IRX2"
"ENSG00000124762",-2.14323777145565,3.5239925657497,-6.38433180996212,4.90687263040567e-06,0.0147279782001626,"ENSG00000124762","CDKN1A"
"ENSG00000120156",-1.97947970345275,2.57426632391728,-6.26066408381409,6.14806508078323e-06,0.0164030376355296,"ENSG00000120156","TEK"
"ENSG00000176928",-2.7696841525712,-0.366087827752102,-6.12391221631391,7.90887394271967e-06,0.0189907881112585,"ENSG00000176928","GCNT4"
"ENSG00000167874",-3.18990761633708,-1.09109265262181,-5.82709554682324,1.37837395060384e-05,0.030088650274454,"ENSG00000167874","TMEM88"
"ENSG00000170373",-2.62308934543358,1.89152632457644,-5.69397649431852,1.77460448842928e-05,0.0355098358134699,"ENSG00000170373","CST1"
"ENSG00000155897",-2.87101241360624,0.469623149500109,-5.61682997576428,2.05707314929382e-05,0.0379957234314179,"ENSG00000155897","ADCY8"
"ENSG00000175592",-2.07505625366307,2.29528028106306,-5.46768886877474,2.74237237996395e-05,0.0462717259925441,"ENSG00000175592","FOSL1"
"ENSG00000183722",-2.31843450243497,2.59337088775409,-5.44056880097601,2.89053760573114e-05,0.0462717259925441,"ENSG00000183722","LHFPL6"
"ENSG00000173535",-1.69838793239181,3.03570881722596,-5.40547014895894,3.09462977126398e-05,0.0464426562922442,"ENSG00000173535","TNFRSF10C"
