"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000170542",3.99039505946247,7.26820676543903,45.5551982522736,1.98075106995099e-18,4.75617946916632e-14,"ENSG00000170542","SERPINB9"
"ENSG00000170561",2.64874878059865,3.58735036264925,26.8860448081092,7.13652016299627e-15,8.56810610769332e-11,"ENSG00000170561","IRX2"
"ENSG00000125968",3.11639529805228,6.73904008798195,24.4171375108695,3.13962589811708e-14,2.51295656885291e-10,"ENSG00000125968","ID1"
"ENSG00000139318",-4.92239465883909,6.07923653916113,-23.4553758528725,5.82334561385224e-14,3.4957543719955e-10,"ENSG00000139318","DUSP6"
"ENSG00000154096",-2.12450187186028,8.25816837192222,-19.8262731734809,7.53309575038402e-13,3.61769390316442e-09,"ENSG00000154096","THY1"
"ENSG00000133636",3.84765704710483,5.73465375795832,18.7753245938574,1.71742247852693e-12,6.87312475906476e-09,"ENSG00000133636","NTS"
"ENSG00000115738",3.11173674157815,5.07751609853854,17.8137479205271,3.78999884663803e-12,1.30007789007818e-08,"ENSG00000115738","ID2"
"ENSG00000134363",3.63350547509849,3.8516493798121,17.4964265216533,4.96482239905625e-12,1.49019144307673e-08,"ENSG00000134363","FST"
"ENSG00000134917",-2.36415194980121,3.32312733380826,-17.2660432493959,6.05529846395567e-12,1.61555363018337e-08,"ENSG00000134917","ADAMTS8"
"ENSG00000113196",7.28398224899363,-1.92444409033663,16.4727042176871,1.24215776980511e-11,2.98266923685602e-08,"ENSG00000113196","HAND1"
"ENSG00000172201",3.95829956922217,3.86262571477962,15.5293919291791,2.94077609236501e-11,6.41944686635169e-08,"ENSG00000172201","ID4"
"ENSG00000187678",-2.31362928762067,7.22929349401626,-14.9687928396557,5.06289620167216e-11,9.48467892845815e-08,"ENSG00000187678","SPRY4"
"ENSG00000068078",2.93132329485812,5.13678435390731,14.954478335806,5.13496693611344e-11,9.48467892845815e-08,"ENSG00000068078","FGFR3"
"ENSG00000180694",2.115006197414,4.7031367632032,14.3142019723694,9.77473750100216e-11,1.65583983629368e-07,"ENSG00000180694","TMEM64"
"ENSG00000108950",6.28795842987379,2.40180531822656,14.2171975016251,1.08895864142302e-10,1.65583983629368e-07,"ENSG00000108950","FAM20A"
"ENSG00000115414",2.95380222378163,8.1374011346675,14.1964512238384,1.10334155341908e-10,1.65583983629368e-07,"ENSG00000115414","FN1"
"ENSG00000120738",2.7271563079649,1.83963529606524,14.0680517563557,1.26033527183044e-10,1.78018650277602e-07,"ENSG00000120738","EGR1"
"ENSG00000185668",-2.72884915866677,4.40168910104605,-14.0117852594112,1.33644348762173e-10,1.78281561248739e-07,"ENSG00000185668","POU3F1"
"ENSG00000283809",2.65456531703646,4.67043237168963,13.7111758586002,1.83443829699757e-10,2.31834380986872e-07,"ENSG00000283809",NA
"ENSG00000100604",-2.8265975251838,4.95710711642212,-13.5193762553441,2.25229414929682e-10,2.70410435564577e-07,"ENSG00000100604","CHGA"
"ENSG00000243709",-2.70937707563254,4.47514889332347,-12.3954196857249,7.89620326745203e-10,9.02874442181229e-07,"ENSG00000243709","LEFTY1"
"ENSG00000178947",2.11621618259454,3.46935579765391,12.2160763462698,9.73015110332789e-10,1.06200176496868e-06,"ENSG00000178947","SMIM10L2A"
"ENSG00000248329",2.42681129709647,4.21701852051627,11.9044307795771,1.40724112289177e-09,1.469159732299e-06,"ENSG00000248329","APELA"
"ENSG00000113361",4.67537514127448,1.95393984746701,11.8518420460695,1.50132956316559e-09,1.4832540993916e-06,"ENSG00000113361","CDH6"
"ENSG00000277196",1.76154409700641,5.58461483813169,11.826970694888,1.5442842114272e-09,1.4832540993916e-06,"ENSG00000277196",NA
"ENSG00000116774",1.59233417700044,6.25822156910634,11.6576571498633,1.89537958161821e-09,1.75045594283909e-06,"ENSG00000116774","OLFML3"
"ENSG00000125378",2.98762408794029,3.10961498643065,11.5789643450132,2.08648769525804e-09,1.85558305698282e-06,"ENSG00000125378","BMP4"
"ENSG00000189184",1.7485403401627,5.69569661875978,11.5062234698314,2.28116083599126e-09,1.95625835692222e-06,"ENSG00000189184","PCDH18"
"ENSG00000175832",-1.75988526899017,7.08448761584733,-11.2524341455815,3.12549009664324e-09,2.5879058000206e-06,"ENSG00000175832","ETV4"
"ENSG00000164120",5.16032961101117,2.97375183624101,11.0992265178308,3.80291094575612e-09,3.0438499209832e-06,"ENSG00000164120","HPGD"
"ENSG00000143768",-2.03724456494629,4.27128140315931,-10.881455489251,5.00369420190222e-09,3.85306342337812e-06,"ENSG00000143768","LEFTY2"
"ENSG00000168421",-4.40210695030519,1.5380999061073,-10.8622709418914,5.13485047260119e-09,3.85306342337812e-06,"ENSG00000168421","RHOH"
"ENSG00000143858",-2.25113828220811,4.10610109138593,-10.7992478935938,5.56309216565831e-09,4.04790815399355e-06,"ENSG00000143858","SYT2"
"ENSG00000106038",7.36863115375877,-1.30784380933083,10.7856913113239,5.77456392040929e-09,4.07820084873141e-06,"ENSG00000106038","EVX1"
"ENSG00000171126",2.45817820184805,2.06503889731528,10.7240323145109,6.1329151704076e-09,4.20753025919507e-06,"ENSG00000171126","KCNG3"
"ENSG00000157554",-3.72533151491329,1.24986858787958,-10.5276396553578,7.93377758008520e-09,5.29182964591683e-06,"ENSG00000157554","ERG"
"ENSG00000116729",2.93548474726609,4.08063242517952,10.452293888465,8.76226753514642e-09,5.68647481226854e-06,"ENSG00000116729","WLS"
"ENSG00000164651",2.27466577262061,3.14559411711907,10.3792761839951,9.65522147958325e-09,6.06185737787732e-06,"ENSG00000164651","SP8"
"ENSG00000176485",1.57018153469599,5.67551815336002,10.3646358195486,9.84559544132997e-09,6.06185737787732e-06,"ENSG00000176485","PLAAT3"
"ENSG00000169860",-1.92620943504464,4.61699881307047,-10.2991863977309,1.07464203045011e-08,6.45107610879199e-06,"ENSG00000169860","P2RY1"
"ENSG00000100473",1.88380361818243,4.58855250997512,10.1598913474538,1.29657589380607e-08,7.46282026856281e-06,"ENSG00000100473","COCH"
"ENSG00000061492",7.64844519229861,-1.45069858821895,10.1725220709946,1.30534087656021e-08,7.46282026856281e-06,"ENSG00000061492","WNT8A"
"ENSG00000129654",-2.56986804981847,1.68494686143128,-10.0179128715138,1.5731678376826e-08,8.78486188800803e-06,"ENSG00000129654","FOXJ1"
"ENSG00000115339",2.42957773426903,3.67748954482502,9.97282153787489,1.67351439822002e-08,9.13282448410437e-06,"ENSG00000115339","GALNT3"
"ENSG00000121454",-5.33713536357372,-0.387358524383048,-9.60825523340997,2.79349980530476e-08,1.49061149611062e-05,"ENSG00000121454","LHX4"
"ENSG00000137203",8.25600168097461,0.65369547738829,9.59616137593174,2.92289799178695e-08,1.51267779131954e-05,"ENSG00000137203","TFAP2A"
"ENSG00000125798",-6.07945926986063,-1.35148257326917,-9.57038234134215,2.96084691787517e-08,1.51267779131954e-05,"ENSG00000125798","FOXA2"
"ENSG00000204711",2.24425579925751,2.50941814958195,9.39602925972967,3.76103255733239e-08,1.86643057907275e-05,"ENSG00000204711","C9orf135"
"ENSG00000214336",2.36421083585132,4.33955734146523,9.38725069765565,3.80872473657192e-08,1.86643057907275e-05,"ENSG00000214336","FOXI3"
"ENSG00000249321",5.38005431650038,-3.71177606110918,9.3246308248338,4.18896307747993e-08,2.01170762832896e-05,"ENSG00000249321","OR5H5P"
"ENSG00000187634",7.45351006132788,1.15508845106723,9.08911633360516,6.01291271478699e-08,2.83102078642089e-05,"ENSG00000187634","SAMD11"
"ENSG00000183908",-3.1340092293194,1.74218216963398,-9.05765104744007,6.15106659751829e-08,2.84037329114633e-05,"ENSG00000183908","LRRC55"
"ENSG00000128683",5.58952265943877,1.09241927894002,9.02527014569691,6.49300996680709e-08,2.94170104382966e-05,"ENSG00000128683","GAD1"
"ENSG00000162433",-1.88495104301706,7.2742201117073,-8.91990353540392,7.54188853560447e-08,3.35362643549879e-05,"ENSG00000162433","AK4"
"ENSG00000244280",3.92037030092568,-1.00290385587455,8.8784209453952,8.02810644000108e-08,3.50492530613284e-05,"ENSG00000244280","ECEL1P2"
"ENSG00000105464",-1.96523360322004,4.76243445498364,-8.83950945843979,8.5036798470419e-08,3.6462564372709e-05,"ENSG00000105464","GRIN2D"
"ENSG00000179546",2.37948480528142,1.60448268206521,8.80294113678129,8.98310151098043e-08,3.7842497102046e-05,"ENSG00000179546","HTR1D"
"ENSG00000170373",2.18366140595857,1.89152632457644,8.6756757686622,1.0885514333708e-07,4.50660293415512e-05,"ENSG00000170373","CST1"
"ENSG00000184344",2.16692607589934,3.48921364831436,8.56256072656263,1.29328717348302e-07,5.19694822795415e-05,"ENSG00000184344","GDF3"
"ENSG00000229544",1.74146813587284,5.30432002197666,8.55988791942126,1.29858776310699e-07,5.19694822795415e-05,"ENSG00000229544","NKX1-2"
"ENSG00000177519",1.92979780415141,2.82681509893129,8.4925627349509,1.43993788853581e-07,5.66816206221671e-05,"ENSG00000177519","RPRM"
"ENSG00000126010",1.81520401405967,3.04423617348143,8.45799287357924,1.51871666563879e-07,5.88184267343849e-05,"ENSG00000126010","GRPR"
"ENSG00000129946",2.46618321645226,2.54176226001594,8.4369147465323,1.56896856724843e-07,5.98001162488401e-05,"ENSG00000129946","SHC2"
