"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000103241",4.65242253257941,-1.57066444653535,14.5407176281313,1.70845485454357e-09,3.88502633923209e-05,"ENSG00000103241","FOXF1"
"ENSG00000019991",5.58840316332152,-1.11410695369665,10.6715812467744,6.24980133955429e-08,0.000425442820165933,"ENSG00000019991","HGF"
"ENSG00000104067",-7.4231534647238,3.28534567111268,-10.5806855335707,7.0803528726768e-08,0.000425442820165933,"ENSG00000104067","TJP1"
"ENSG00000164736",2.55853414490447,0.597847699997388,10.219565912502,1.00378980538887e-07,0.000425442820165933,"ENSG00000164736","SOX17"
"ENSG00000256223",3.42797051671705,4.42037398522581,10.2054541108104,1.02032777836791e-07,0.000425442820165933,"ENSG00000256223","ZNF10"
"ENSG00000130287",2.56024238124448,3.14549445680917,10.0912374743913,1.15677109672146e-07,0.000425442820165933,"ENSG00000130287","NCAN"
"ENSG00000122756",2.77896884418816,1.64144477010517,9.87806937102834,1.4689572499286e-07,0.000425442820165933,"ENSG00000122756","CNTFR"
"ENSG00000158473",2.11171341455128,2.01880281593066,9.73439992859748,1.7292644283475e-07,0.000425442820165933,"ENSG00000158473","CD1D"
"ENSG00000146674",-1.73875173306133,6.49854490330028,-9.67418031343269,1.85279304029506e-07,0.000425442820165933,"ENSG00000146674","IGFBP3"
"ENSG00000187556",3.26987895940737,-1.36649492391326,9.66626231638096,1.87090070433568e-07,0.000425442820165933,"ENSG00000187556","NANOS3"
"ENSG00000125144",3.56144212437955,3.54590574191492,9.57634715566446,2.07661746679451e-07,0.000429293465408247,"ENSG00000125144","MT1G"
"ENSG00000181449",-3.87575821905797,5.235016783737,-9.17590976237898,3.3304643207703e-07,0.000631122988785972,"ENSG00000181449","SOX2"
"ENSG00000106038",1.89802710266745,0.39378482375423,8.39980737373581,8.67448993704152e-07,0.00148061600989508,"ENSG00000106038","EVX1"
"ENSG00000213626",1.80413803422821,5.67933957993441,8.3610590137651,9.11548994658363e-07,0.00148061600989508,"ENSG00000213626","LBH"
"ENSG00000142700",1.92068800766202,0.340714013567686,8.145755193902,1.20439306709143e-06,0.00182585988971061,"ENSG00000142700","DMRTA2"
"ENSG00000285566",4.50284273622189,-2.56322147246303,7.49901193451503,2.89192382618335e-06,0.00407075323912525,"ENSG00000285566",NA
"ENSG00000187193",2.59298101583828,5.09217279181738,7.41054295033429,3.24755349403614e-06,0.00407075323912525,"ENSG00000187193","MT1X"
"ENSG00000026025",1.51172158150903,7.60871069520381,7.39965092615988,3.29691068780628e-06,0.00407075323912525,"ENSG00000026025","VIM"
"ENSG00000181195",3.86733380918222,0.428823300565784,7.37939367682437,3.40124501070272e-06,0.00407075323912525,"ENSG00000181195","PENK"
"ENSG00000121966",2.90891847891889,1.07473559891821,7.33172100954516,3.62673892227712e-06,0.00412360215462908,"ENSG00000121966","CXCR4"
"ENSG00000166482",2.11342270403269,4.33672183569534,7.09790370952316,5.05078869765719e-06,0.00546928261832022,"ENSG00000166482","MFAP4"
"ENSG00000124019",3.15300101290712,0.607464000838019,6.82219014228568,7.53987703711088e-06,0.00779349108290461,"ENSG00000124019","FAM124B"
"ENSG00000101230",2.44492692730202,1.47491222754143,6.63594708899631,9.92782922306547e-06,0.00981560158836995,"ENSG00000101230","ISM1"
"ENSG00000050767",2.40167030535362,3.8621342070778,6.58030959093257,1.07900010761487e-05,0.0102235260196509,"ENSG00000050767","COL23A1"
"ENSG00000104371",-5.27736647274125,-3.32008182178118,-6.53250408537749,1.17986143917833e-05,0.0107320196507661,"ENSG00000104371","DKK4"
"ENSG00000205358",3.20220094875076,1.85125517192208,6.46904293777055,1.27724632361653e-05,0.0111709928457846,"ENSG00000205358","MT1H"
"ENSG00000269476",-3.48013630989572,-4.38157223385144,-6.32926345986908,1.58213133640844e-05,0.0127805785874262,"ENSG00000269476",NA
"ENSG00000251013",3.75072524824004,-4.31929486016302,6.31152655723976,1.62778318625328e-05,0.0127805785874262,"ENSG00000251013","GAPDHP62"
"ENSG00000145708",4.71409880928624,-1.04098502313362,6.30159594638336,1.66601163760069e-05,0.0127805785874262,"ENSG00000145708","CRHBP"
"ENSG00000171956",-5.76773322981415,1.75737698925233,-6.30380012037686,1.68609216192958e-05,0.0127805785874262,"ENSG00000171956","FOXB1"
"ENSG00000169715",2.87871535609099,2.15565179727119,6.23335380093239,1.8316536328233e-05,0.0134360656807748,"ENSG00000169715","MT1E"
"ENSG00000136574",2.28482285841632,-1.20962820784177,6.14315572217948,2.10653635429244e-05,0.0149695739676906,"ENSG00000136574","GATA4"
"ENSG00000163565",2.07137249033085,1.94450491444308,6.1031736368575,2.2423398552142e-05,0.0154517600932033,"ENSG00000163565","IFI16"
"ENSG00000125148",2.26318779256473,4.50415293856121,5.95619907263155,2.82694357310351e-05,0.0189072637801099,"ENSG00000125148","MT2A"
"ENSG00000170290",-3.64203900301843,-4.34076500964929,-5.89444304774135,3.12729041044889e-05,0.0203184525524594,"ENSG00000170290","SLN"
"ENSG00000113083",2.60032981063089,1.26462210679066,5.83367945718369,3.4374888240028e-05,0.0217134710716177,"ENSG00000113083","LOX"
"ENSG00000184344",-3.39439104783628,1.65705225839137,-5.77916752106246,3.75824403125484e-05,0.0225632620999109,"ENSG00000184344","GDF3"
"ENSG00000164128",2.05190033710061,4.03571553647116,5.77606678704741,3.77046596216628e-05,0.0225632620999109,"ENSG00000164128","NPY1R"
"ENSG00000159248",-2.37918320206935,-0.0857554028367844,-5.71717576328304,4.14707733564074e-05,0.0240427721402061,"ENSG00000159248","GJD2"
"ENSG00000116183",-4.04374231311782,-0.132148826897816,-5.70851814737699,4.22915956731857e-05,0.0240427721402061,"ENSG00000116183","PAPPA2"
"ENSG00000198785",2.74439042364971,0.255504838853505,5.54662055460964,5.47926177288156e-05,0.0298616022593751,"ENSG00000198785","GRIN3A"
"ENSG00000161544",2.30551465187434,1.86643927530193,5.54034160354889,5.53460190024881e-05,0.0298616022593751,"ENSG00000161544","CYGB"
"ENSG00000142910",-1.63108582683497,3.22162239659537,-5.52813227910991,5.64665302178157e-05,0.0298616022593751,"ENSG00000142910","TINAGL1"
"ENSG00000108932",-2.34041831509446,0.977300293873205,-5.47960607013568,6.11763961740648e-05,0.0316170738408689,"ENSG00000108932","SLC16A6"
"ENSG00000004799",3.48253218770762,-1.25822853132609,5.46262627926627,6.30648548279493e-05,0.0318687733063904,"ENSG00000004799","PDK4"
"ENSG00000122694",1.96587460687055,3.26011284091419,5.43731215671198,6.56114780533291e-05,0.0324348915420153,"ENSG00000122694","GLIPR2"
"ENSG00000227019",3.60715068101497,-2.45713255571417,5.37903904507036,7.25134105289457e-05,0.0347817105953917,"ENSG00000227019","OR7E101P"
"ENSG00000187140",-4.38870645873477,1.79079418802357,-5.36862219506188,7.42837188330344e-05,0.0347817105953917,"ENSG00000187140","FOXD3"
