"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000113196",-15.7099705717114,2.52381823529961,-56.2274050399085,1.30405610263886e-16,2.96542357740077e-12,"ENSG00000113196","HAND1"
"ENSG00000125170",-5.0672339452348,7.77397493236428,-51.5651629223638,3.19653825581868e-16,3.63446399686584e-12,"ENSG00000125170","DOK4"
"ENSG00000059804",-3.60187686914508,10.9489527297466,-45.242137585909,1.61290198250109e-15,1.22257970273583e-11,"ENSG00000059804","SLC2A3"
"ENSG00000115596",-13.0188949873297,0.947026431056858,-42.9753013275878,3.50061626954058e-15,1.99010034923382e-11,"ENSG00000115596","WNT6"
"ENSG00000146674",-7.68635103698035,6.49854490330028,-40.8385194999331,5.96184991848733e-15,2.57864159729605e-11,"ENSG00000146674","IGFBP3"
"ENSG00000108511",-12.2906346721583,0.721824418524256,-40.6325651793365,6.91797129172844e-15,2.57864159729605e-11,"ENSG00000108511","HOXB6"
"ENSG00000135111",-14.6736115567953,2.37412322053409,-40.3292880446439,7.93777096792981e-15,2.57864159729605e-11,"ENSG00000135111","TBX3"
"ENSG00000143995",-11.1677283619577,0.349949751095465,-37.6041354106324,1.76704641690277e-14,5.02282944004613e-11,"ENSG00000143995","MEIS1"
"ENSG00000006377",-11.3168707815178,0.481114695513996,-37.173430044058,2.04388366625212e-14,5.1642127300637e-11,"ENSG00000006377","DLX6"
"ENSG00000095739",-5.59369392315707,6.88391989915824,-34.6498819191573,4.43791380934168e-14,9.05289768654967e-11,"ENSG00000095739","BAMBI"
"ENSG00000148175",-4.43005747790563,6.23216553271181,-34.5362080481304,4.58543083401202e-14,9.05289768654967e-11,"ENSG00000148175","STOM"
"ENSG00000103257",-2.93384652695799,10.6317038851169,-34.4129705978501,4.77725471585735e-14,9.05289768654967e-11,"ENSG00000103257","SLC7A5"
"ENSG00000159251",-4.23976844057025,7.32441909882953,-34.1930477139897,5.18372152202983e-14,9.06752518545833e-11,"ENSG00000159251","ACTC1"
"ENSG00000180447",-6.33599424616673,5.32712797006638,-33.8798454904467,5.9053545884429e-14,9.40790140588276e-11,"ENSG00000180447","GAS1"
