"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000113196",15.320331735077,2.52381823529961,54.6969876393129,1.82555689406049e-16,4.15131637709354e-12,"ENSG00000113196","HAND1"
"ENSG00000059804",3.83199030211805,10.9489527297466,49.6632276590339,5.07039389000784e-16,4.96987098958527e-12,"ENSG00000059804","SLC2A3"
"ENSG00000125170",4.8593337137457,7.77397493236428,48.662646681612,6.55655803375366e-16,4.96987098958527e-12,"ENSG00000125170","DOK4"
"ENSG00000135111",14.7366212583746,2.37412322053409,40.5218723807345,7.49106835621781e-15,4.25867236050983e-11,"ENSG00000135111","TBX3"
"ENSG00000115596",11.7031013029384,0.947026431056858,38.0597802891334,1.53821272699722e-14,5.00240070317424e-11,"ENSG00000115596","WNT6"
"ENSG00000006377",11.5454298287681,0.481114695513996,38.04756057419,1.53959833693747e-14,5.00240070317424e-11,"ENSG00000006377","DLX6"
"ENSG00000108511",11.5314924289149,0.721824418524256,37.7625337516012,1.68939344344812e-14,5.00240070317424e-11,"ENSG00000108511","HOXB6"
"ENSG00000143995",11.1707478694288,0.349949751095465,37.616693850821,1.75985952618267e-14,5.00240070317424e-11,"ENSG00000143995","MEIS1"
"ENSG00000095739",5.77294843096197,6.88391989915824,36.1374885689923,2.64332787435174e-14,6.67880842919539e-11,"ENSG00000095739","BAMBI"
"ENSG00000137273",10.187724355501,-0.407583866201126,34.6607804078043,4.75268776343802e-14,1.08076119740581e-10,"ENSG00000137273","FOXF2"
"ENSG00000180447",6.329368439311,5.32712797006638,33.8377438523186,5.99631231032583e-14,1.156249149097e-10,"ENSG00000180447","GAS1"
"ENSG00000148175",4.35755643503497,6.23216553271181,33.7461735626381,6.10157862320318e-14,1.156249149097e-10,"ENSG00000148175","STOM"
"ENSG00000115738",5.44279342617142,6.25298881403887,33.5165995488312,6.68446431777439e-14,1.16926706604761e-10,"ENSG00000115738","ID2"
"ENSG00000152207",11.6674647468485,0.659963123746435,33.2049820869157,8.31414715944218e-14,1.35045504575511e-10,"ENSG00000152207","CYSLTR2"
"ENSG00000172201",5.34129656465194,5.41319383999482,32.4019238576907,1.01414289717941e-13,1.45313872201377e-10,"ENSG00000172201","ID4"
"ENSG00000115414",5.47227871548729,8.32490317276821,32.3834584283134,1.0224370955242e-13,1.45313872201377e-10,"ENSG00000115414","FN1"
"ENSG00000170542",6.04455113758636,7.64147311476677,32.1974676372379,1.10400803784311e-13,1.47187347330942e-10,"ENSG00000170542","SERPINB9"
"ENSG00000106038",12.2017138140589,0.39378482375423,32.337441657691,1.16507135090455e-13,1.47187347330942e-10,"ENSG00000106038","EVX1"
"ENSG00000214822",11.8460060102912,0.611454875534592,31.9657744157662,1.33453161670957e-13,1.59722362968293e-10,"ENSG00000214822","KRT16P3"
"ENSG00000143878",4.82558742207506,7.50998610088029,31.2556828391143,1.5758696432632e-13,1.78746824778224e-10,"ENSG00000143878","RHOB"
"ENSG00000142700",11.8350123638607,0.340714013567686,31.4192940689623,1.65069627103901e-13,1.78746824778224e-10,"ENSG00000142700","DMRTA2"
"ENSG00000106991",5.62988567501949,5.1704979534718,30.8543874076635,1.85967430737929e-13,1.9222269886275e-10,"ENSG00000106991","ENG"
"ENSG00000058668",4.66020859723385,6.77136973009262,30.4153473791449,2.20321014678863e-13,2.17830429295537e-10,"ENSG00000058668","ATP2B4"
"ENSG00000179348",10.7858994869915,2.77921629686163,30.3675035732201,2.46115624603421e-13,2.32987108710253e-10,"ENSG00000179348","GATA2"
"ENSG00000103241",9.64720520962011,-1.57066444653535,30.2040013112097,2.57301421787971e-13,2.32987108710253e-10,"ENSG00000103241","FOXF1"
"ENSG00000136167",5.04879035701898,5.37723377097187,29.7364586519513,2.91685029301737e-13,2.32987108710253e-10,"ENSG00000136167","LCP1"
"ENSG00000075673",7.86195958250577,3.7515224940552,29.7592226913965,2.99122615618859e-13,2.32987108710253e-10,"ENSG00000075673","ATP12A"
"ENSG00000137834",6.46274097221835,5.24185020455691,29.579726232901,3.15690313675747e-13,2.32987108710253e-10,"ENSG00000137834","SMAD6"
"ENSG00000121900",7.25875723961367,4.46685800592187,29.606244984949,3.15697011536254e-13,2.32987108710253e-10,"ENSG00000121900","TMEM54"
"ENSG00000146674",5.94759930391902,6.49854490330028,29.5551439892688,3.17029798141794e-13,2.32987108710253e-10,"ENSG00000146674","IGFBP3"
"ENSG00000165556",11.6592154030075,0.90080659641172,29.7870629698489,3.17616551012218e-13,2.32987108710253e-10,"ENSG00000165556","CDX2"
"ENSG00000133636",7.03348608183711,5.13456983174077,29.2128715091857,3.71003885495361e-13,2.56493496718371e-10,"ENSG00000133636","NTS"
"ENSG00000155760",-3.46091702598173,7.56945916088428,-29.1386156147861,3.72220113971251e-13,2.56493496718371e-10,"ENSG00000155760","FZD7"
"ENSG00000075618",2.81242503298533,9.44272555565964,28.9377535318016,4.05091077288629e-13,2.6257274948132e-10,"ENSG00000075618","FSCN1"
"ENSG00000103257",2.64362928494314,10.6317038851169,28.9011113706365,4.11439258234065e-13,2.6257274948132e-10,"ENSG00000103257","SLC7A5"
"ENSG00000164532",10.3008469100812,-0.122823529476535,29.0346235965137,4.23865438157884e-13,2.6257274948132e-10,"ENSG00000164532","TBX20"
"ENSG00000109436",6.177674834776,4.40988017427448,28.8537632944314,4.27229187810415e-13,2.6257274948132e-10,"ENSG00000109436","TBC1D9"
"ENSG00000171345",4.64734189762336,9.26618421142115,28.6786684047347,4.5449705271294e-13,2.71980604702428e-10,"ENSG00000171345","KRT19"
"ENSG00000118515",4.88824467843883,5.58478327658147,28.4202262920117,5.08776245000738e-13,2.96655687469661e-10,"ENSG00000118515","SGK1"
"ENSG00000184304",4.7629180492432,4.75115847571029,28.0956631363531,5.85546829036273e-13,3.29552849811213e-10,"ENSG00000184304","PRKD1"
"ENSG00000174640",9.85712450001417,4.44206298580854,28.1874465293485,6.05073459482571e-13,3.29552849811213e-10,"ENSG00000174640","SLCO2A1"
"ENSG00000111186",8.88426038193124,3.95469493745516,28.1317945710355,6.08672809677702e-13,3.29552849811213e-10,"ENSG00000111186","WNT5B"
"ENSG00000106031",8.5713160610961,-1.09393810515825,28.0258787679483,6.33971130065564e-13,3.33817865785193e-10,"ENSG00000106031","HOXA13"
"ENSG00000168209",4.08910793837199,6.37041734811812,27.8654875689626,6.4590967874004e-13,3.33817865785193e-10,"ENSG00000168209","DDIT4"
"ENSG00000144355",9.59846588866293,-0.619395736659397,27.8800862817557,6.89023139948198e-13,3.48186360053823e-10,"ENSG00000144355","DLX1"
"ENSG00000227300",9.28290181862693,-0.718879753802108,27.7289814550345,7.32253928175603e-13,3.61988137537244e-10,"ENSG00000227300","KRT16P2"
"ENSG00000173917",11.3674849665214,0.60921098976052,27.6791353417945,7.79619930301422e-13,3.77203345001156e-10,"ENSG00000173917","HOXB2"
"ENSG00000183018",6.03989772015677,4.783963265341,27.4101940560895,8.02028489479543e-13,3.79960996890933e-10,"ENSG00000183018","SPNS2"
"ENSG00000189120",8.34833393692341,4.38929835604429,27.201612185954,9.1153941673225e-13,4.23028700744722e-10,"ENSG00000189120","SP6"
