"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000113196",15.4343766767258,2.52381823529961,55.2863119980492,1.60097949988766e-16,3.64062738274454e-12,"ENSG00000113196","HAND1"
"ENSG00000125170",5.22513565398215,7.77397493236428,50.5381176264161,4.10906868838856e-16,4.67201109869779e-12,"ENSG00000125170","DOK4"
"ENSG00000059804",3.46224161717051,10.9489527297466,42.3037220400081,3.70949005618335e-15,2.57482432779242e-11,"ENSG00000059804","SLC2A3"
"ENSG00000115596",12.743301092344,0.947026431056858,42.074180088657,4.52915449040004e-15,2.57482432779242e-11,"ENSG00000115596","WNT6"
"ENSG00000146674",7.14054522134916,6.49854490330028,39.8855423564236,7.92211302936491e-15,3.45607861152683e-11,"ENSG00000146674","IGFBP3"
"ENSG00000108511",12.0150407771727,0.721824418524256,39.7199044711056,9.11894092751142e-15,3.45607861152683e-11,"ENSG00000108511","HOXB6"
"ENSG00000143995",10.8921344669721,0.349949751095465,36.6570708409031,2.41016452745916e-14,7.82959162206019e-11,"ENSG00000143995","MEIS1"
"ENSG00000006377",11.0412768865322,0.481114695513996,36.2519436423618,2.77360310528019e-14,7.88396682675894e-11,"ENSG00000006377","DLX6"
"ENSG00000135111",13.3774639179378,2.37412322053409,34.7331067210432,4.92710548968441e-14,1.24491532039359e-10,"ENSG00000135111","TBX3"
"ENSG00000107562",3.55742377520845,7.42486762003778,33.5249829892103,6.60296375569184e-14,1.46675847490709e-10,"ENSG00000107562","CXCL12"
"ENSG00000148175",4.57874287963194,6.23216553271181,33.3393292209319,7.09513774141512e-14,1.46675847490709e-10,"ENSG00000148175","STOM"
"ENSG00000152207",11.6380406973871,0.659963123746435,33.220527788775,8.26145244744489e-14,1.54666292129328e-10,"ENSG00000152207","CYSLTR2"
"ENSG00000095739",5.45423258426004,6.88391989915824,32.7663100220892,8.84196041196688e-14,1.54666292129328e-10,"ENSG00000095739","BAMBI"
"ENSG00000155760",-3.84967507508585,7.56945916088428,-32.4423076996381,9.90960339584247e-14,1.60960272301041e-10,"ENSG00000155760","FZD7"
"ENSG00000180447",6.17710953996852,5.32712797006638,31.9294087540075,1.22584162595877e-13,1.8583759049535e-10,"ENSG00000180447","GAS1"
"ENSG00000115738",5.63550169154213,6.25298881403887,31.2828728161928,1.5688695013358e-13,2.17112449965046e-10,"ENSG00000115738","ID2"
